country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,Num female infection,populationin1000sM,Num male infection,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Country begin,Bin 0-19,Bin 20-49,Bin 50-79,Bin 80+,Total
Brazil,7/26/2021,9-May,5,9,54,93,7137,7137000,7465,7465000,14602000,147,48.88,51.12,36.73,63.27,,1,0,0,0,0
Brazil,7/26/2021,14-Oct,10,14,105,119,7319,7319000,7623,7623000,14942000,224,48.98,51.02,46.88,53.13,,1,0,0,0,0
Brazil,7/26/2021,15-19,15,19,288,291,7965,7965000,8253,8253000,16218000,579,49.11,50.89,49.74,50.26,,1,0,0,0,0
Brazil,7/26/2021,20-24,20,24,575,613,8466,8466000,8686,8686000,17152000,1188,49.36,50.64,48.4,51.6,,0,1,0,0,0
Brazil,7/26/2021,25-29,25,29,986,1182,8419,8419000,8534,8534000,16953000,2168,49.66,50.34,45.48,54.52,,0,1,0,0,0
Brazil,7/26/2021,30-34,30,34,1611,2205,8576,8576000,8572,8572000,17148000,3816,50.01,49.99,42.22,57.78,,0,1,0,0,0
Brazil,7/26/2021,35-39,35,39,2584,3900,8735,8735000,8594,8594000,17329000,6484,50.41,49.59,39.85,60.15,,0,1,0,0,0
Brazil,7/26/2021,40-44,40,44,3620,5595,7957,7957000,7705,7705000,15662000,9215,50.8,49.2,39.28,60.72,,0,1,0,0,0
Brazil,7/26/2021,45-49,45,49,4633,7762,7079,7079000,6722,6722000,13801000,12395,51.29,48.71,37.38,62.62,,0,1,0,0,0
Brazil,7/26/2021,50-54,50,54,6306,10251,6652,6652000,6171,6171000,12823000,16557,51.88,48.12,38.09,61.91,,0,0,1,0,0
Brazil,7/26/2021,55-59,55,59,9010,15656,6090,6090000,5508,5508000,11598000,24666,52.51,47.49,36.53,63.47,,0,0,1,0,0
Brazil,7/26/2021,60-64,60,64,12088,17718,5045,5045000,4423,4423000,9468000,29806,53.28,46.72,40.56,59.44,,0,0,1,0,0
